,corruption,accuracy,lr,state,n_subset
0,brightness,0.836,0.001,layer3,2000
0,brightness,0.8395,0.0001,layer3,2000
0,brightness,0.8315,1e-05,layer3,2000
0,contrast,0.726,0.001,layer3,2000
0,contrast,0.704,0.0001,layer3,2000
0,contrast,0.656,1e-05,layer3,2000
0,defocus_blur,0.747,0.001,layer3,2000
0,defocus_blur,0.733,0.0001,layer3,2000
0,defocus_blur,0.6995,1e-05,layer3,2000
0,elastic_transform,0.697,0.001,layer3,2000
0,elastic_transform,0.6765,0.0001,layer3,2000
0,elastic_transform,0.6415,1e-05,layer3,2000
0,fog,0.738,0.001,layer3,2000
0,fog,0.7125,0.0001,layer3,2000
0,fog,0.691,1e-05,layer3,2000
0,frost,0.72,0.001,layer3,2000
0,frost,0.711,0.0001,layer3,2000
0,frost,0.6695,1e-05,layer3,2000
0,gaussian_blur,0.73,0.001,layer3,2000
0,gaussian_blur,0.6965,0.0001,layer3,2000
0,gaussian_blur,0.651,1e-05,layer3,2000
0,gaussian_noise,0.669,0.001,layer3,2000
0,gaussian_noise,0.628,0.0001,layer3,2000
0,gaussian_noise,0.587,1e-05,layer3,2000
0,glass_blur,0.618,0.001,layer3,2000
0,glass_blur,0.569,0.0001,layer3,2000
0,glass_blur,0.4835,1e-05,layer3,2000
0,impulse_noise,0.59,0.001,layer3,2000
0,impulse_noise,0.5395,0.0001,layer3,2000
0,impulse_noise,0.4815,1e-05,layer3,2000
0,jpeg_compression,0.671,0.001,layer3,2000
0,jpeg_compression,0.6485,0.0001,layer3,2000
0,jpeg_compression,0.612,1e-05,layer3,2000
0,motion_blur,0.7385,0.001,layer3,2000
0,motion_blur,0.7095,0.0001,layer3,2000
0,motion_blur,0.67,1e-05,layer3,2000
0,pixelate,0.704,0.001,layer3,2000
0,pixelate,0.6475,0.0001,layer3,2000
0,pixelate,0.587,1e-05,layer3,2000
0,saturate,0.845,0.001,layer3,2000
0,saturate,0.851,0.0001,layer3,2000
0,saturate,0.845,1e-05,layer3,2000
0,shot_noise,0.694,0.001,layer3,2000
0,shot_noise,0.6515,0.0001,layer3,2000
0,shot_noise,0.602,1e-05,layer3,2000
0,snow,0.752,0.001,layer3,2000
0,snow,0.7305,0.0001,layer3,2000
0,snow,0.7095,1e-05,layer3,2000
0,spatter,0.7585,0.001,layer3,2000
0,spatter,0.7315,0.0001,layer3,2000
0,spatter,0.7025,1e-05,layer3,2000
0,speckle_noise,0.694,0.001,layer3,2000
0,speckle_noise,0.6505,0.0001,layer3,2000
0,speckle_noise,0.6045,1e-05,layer3,2000
0,zoom_blur,0.763,0.001,layer3,2000
0,zoom_blur,0.7445,0.0001,layer3,2000
0,zoom_blur,0.7085,1e-05,layer3,2000
