,corruption,accuracy,lr,state,n_subset
0,brightness,0.8615,0.001,all layers,2000
0,brightness,0.859,0.0001,all layers,2000
0,brightness,0.816,1e-05,all layers,2000
0,contrast,0.85,0.001,all layers,2000
0,contrast,0.7915,0.0001,all layers,2000
0,contrast,0.6335,1e-05,all layers,2000
0,defocus_blur,0.841,0.001,all layers,2000
0,defocus_blur,0.8095,0.0001,all layers,2000
0,defocus_blur,0.6845,1e-05,all layers,2000
0,elastic_transform,0.7385,0.001,all layers,2000
0,elastic_transform,0.6975,0.0001,all layers,2000
0,elastic_transform,0.599,1e-05,all layers,2000
0,fog,0.818,0.001,all layers,2000
0,fog,0.785,0.0001,all layers,2000
0,fog,0.6625,1e-05,all layers,2000
0,frost,0.7995,0.001,all layers,2000
0,frost,0.7635,0.0001,all layers,2000
0,frost,0.635,1e-05,all layers,2000
0,gaussian_blur,0.8405,0.001,all layers,2000
0,gaussian_blur,0.7805,0.0001,all layers,2000
0,gaussian_blur,0.631,1e-05,all layers,2000
0,gaussian_noise,0.7625,0.001,all layers,2000
0,gaussian_noise,0.7055,0.0001,all layers,2000
0,gaussian_noise,0.545,1e-05,all layers,2000
0,glass_blur,0.6695,0.001,all layers,2000
0,glass_blur,0.59,0.0001,all layers,2000
0,glass_blur,0.428,1e-05,all layers,2000
0,impulse_noise,0.705,0.001,all layers,2000
0,impulse_noise,0.653,0.0001,all layers,2000
0,impulse_noise,0.456,1e-05,all layers,2000
0,jpeg_compression,0.7695,0.001,all layers,2000
0,jpeg_compression,0.732,0.0001,all layers,2000
0,jpeg_compression,0.5955,1e-05,all layers,2000
0,motion_blur,0.8205,0.001,all layers,2000
0,motion_blur,0.799,0.0001,all layers,2000
0,motion_blur,0.6555,1e-05,all layers,2000
0,pixelate,0.796,0.001,all layers,2000
0,pixelate,0.7565,0.0001,all layers,2000
0,pixelate,0.511,1e-05,all layers,2000
0,saturate,0.8815,0.001,all layers,2000
0,saturate,0.874,0.0001,all layers,2000
0,saturate,0.8545,1e-05,all layers,2000
0,shot_noise,0.779,0.001,all layers,2000
0,shot_noise,0.7385,0.0001,all layers,2000
0,shot_noise,0.561,1e-05,all layers,2000
0,snow,0.8115,0.001,all layers,2000
0,snow,0.7805,0.0001,all layers,2000
0,snow,0.683,1e-05,all layers,2000
0,spatter,0.844,0.001,all layers,2000
0,spatter,0.8245,0.0001,all layers,2000
0,spatter,0.708,1e-05,all layers,2000
0,speckle_noise,0.7715,0.001,all layers,2000
0,speckle_noise,0.732,0.0001,all layers,2000
0,speckle_noise,0.5625,1e-05,all layers,2000
0,zoom_blur,0.8095,0.001,all layers,2000
0,zoom_blur,0.7735,0.0001,all layers,2000
0,zoom_blur,0.6615,1e-05,all layers,2000
