,corruption,accuracy,lr,state,n_subset
0,brightness,0.855,0.001,layer1,3000
0,brightness,0.863,0.0001,layer1,3000
0,brightness,0.829,1e-05,layer1,3000
0,contrast,0.8685,0.001,layer1,3000
0,contrast,0.8115,0.0001,layer1,3000
0,contrast,0.675,1e-05,layer1,3000
0,defocus_blur,0.839,0.001,layer1,3000
0,defocus_blur,0.824,0.0001,layer1,3000
0,defocus_blur,0.719,1e-05,layer1,3000
0,elastic_transform,0.7445,0.001,layer1,3000
0,elastic_transform,0.725,0.0001,layer1,3000
0,elastic_transform,0.6225,1e-05,layer1,3000
0,fog,0.818,0.001,layer1,3000
0,fog,0.8015,0.0001,layer1,3000
0,fog,0.69,1e-05,layer1,3000
0,frost,0.8095,0.001,layer1,3000
0,frost,0.7835,0.0001,layer1,3000
0,frost,0.668,1e-05,layer1,3000
0,gaussian_blur,0.8315,0.001,layer1,3000
0,gaussian_blur,0.805,0.0001,layer1,3000
0,gaussian_blur,0.6745,1e-05,layer1,3000
0,gaussian_noise,0.762,0.001,layer1,3000
0,gaussian_noise,0.7355,0.0001,layer1,3000
0,gaussian_noise,0.58,1e-05,layer1,3000
0,glass_blur,0.6935,0.001,layer1,3000
0,glass_blur,0.62,0.0001,layer1,3000
0,glass_blur,0.4555,1e-05,layer1,3000
0,impulse_noise,0.723,0.001,layer1,3000
0,impulse_noise,0.6695,0.0001,layer1,3000
0,impulse_noise,0.4875,1e-05,layer1,3000
0,jpeg_compression,0.7605,0.001,layer1,3000
0,jpeg_compression,0.7465,0.0001,layer1,3000
0,jpeg_compression,0.621,1e-05,layer1,3000
0,motion_blur,0.8195,0.001,layer1,3000
0,motion_blur,0.8135,0.0001,layer1,3000
0,motion_blur,0.6945,1e-05,layer1,3000
0,pixelate,0.8075,0.001,layer1,3000
0,pixelate,0.7795,0.0001,layer1,3000
0,pixelate,0.571,1e-05,layer1,3000
0,saturate,0.863,0.001,layer1,3000
0,saturate,0.8765,0.0001,layer1,3000
0,saturate,0.859,1e-05,layer1,3000
0,shot_noise,0.776,0.001,layer1,3000
0,shot_noise,0.7585,0.0001,layer1,3000
0,shot_noise,0.61,1e-05,layer1,3000
0,snow,0.805,0.001,layer1,3000
0,snow,0.7875,0.0001,layer1,3000
0,snow,0.7,1e-05,layer1,3000
0,spatter,0.8585,0.001,layer1,3000
0,spatter,0.8415,0.0001,layer1,3000
0,spatter,0.747,1e-05,layer1,3000
0,speckle_noise,0.7715,0.001,layer1,3000
0,speckle_noise,0.7535,0.0001,layer1,3000
0,speckle_noise,0.603,1e-05,layer1,3000
0,zoom_blur,0.8185,0.001,layer1,3000
0,zoom_blur,0.7905,0.0001,layer1,3000
0,zoom_blur,0.682,1e-05,layer1,3000
