,corruption,accuracy,lr,state,n_subset
0,brightness,0.8325,0.001,layer3,3000
0,brightness,0.8325,0.0001,layer3,3000
0,brightness,0.832,1e-05,layer3,3000
0,contrast,0.739,0.001,layer3,3000
0,contrast,0.705,0.0001,layer3,3000
0,contrast,0.662,1e-05,layer3,3000
0,defocus_blur,0.7635,0.001,layer3,3000
0,defocus_blur,0.7405,0.0001,layer3,3000
0,defocus_blur,0.718,1e-05,layer3,3000
0,elastic_transform,0.7135,0.001,layer3,3000
0,elastic_transform,0.687,0.0001,layer3,3000
0,elastic_transform,0.6475,1e-05,layer3,3000
0,fog,0.7455,0.001,layer3,3000
0,fog,0.7195,0.0001,layer3,3000
0,fog,0.692,1e-05,layer3,3000
0,frost,0.731,0.001,layer3,3000
0,frost,0.7085,0.0001,layer3,3000
0,frost,0.6805,1e-05,layer3,3000
0,gaussian_blur,0.752,0.001,layer3,3000
0,gaussian_blur,0.7105,0.0001,layer3,3000
0,gaussian_blur,0.6575,1e-05,layer3,3000
0,gaussian_noise,0.669,0.001,layer3,3000
0,gaussian_noise,0.6435,0.0001,layer3,3000
0,gaussian_noise,0.609,1e-05,layer3,3000
0,glass_blur,0.6205,0.001,layer3,3000
0,glass_blur,0.5785,0.0001,layer3,3000
0,glass_blur,0.497,1e-05,layer3,3000
0,impulse_noise,0.6045,0.001,layer3,3000
0,impulse_noise,0.5505,0.0001,layer3,3000
0,impulse_noise,0.493,1e-05,layer3,3000
0,jpeg_compression,0.681,0.001,layer3,3000
0,jpeg_compression,0.656,0.0001,layer3,3000
0,jpeg_compression,0.622,1e-05,layer3,3000
0,motion_blur,0.754,0.001,layer3,3000
0,motion_blur,0.728,0.0001,layer3,3000
0,motion_blur,0.691,1e-05,layer3,3000
0,pixelate,0.718,0.001,layer3,3000
0,pixelate,0.6765,0.0001,layer3,3000
0,pixelate,0.6005,1e-05,layer3,3000
0,saturate,0.85,0.001,layer3,3000
0,saturate,0.854,0.0001,layer3,3000
0,saturate,0.8445,1e-05,layer3,3000
0,shot_noise,0.7045,0.001,layer3,3000
0,shot_noise,0.675,0.0001,layer3,3000
0,shot_noise,0.6145,1e-05,layer3,3000
0,snow,0.759,0.001,layer3,3000
0,snow,0.7405,0.0001,layer3,3000
0,snow,0.7185,1e-05,layer3,3000
0,spatter,0.7655,0.001,layer3,3000
0,spatter,0.746,0.0001,layer3,3000
0,spatter,0.7145,1e-05,layer3,3000
0,speckle_noise,0.697,0.001,layer3,3000
0,speckle_noise,0.669,0.0001,layer3,3000
0,speckle_noise,0.625,1e-05,layer3,3000
0,zoom_blur,0.7635,0.001,layer3,3000
0,zoom_blur,0.7545,0.0001,layer3,3000
0,zoom_blur,0.713,1e-05,layer3,3000
