,corruption,accuracy,lr,state,n_subset
0,brightness,0.8435,0.001,layer1,1000
0,brightness,0.843,0.0001,layer1,1000
0,brightness,0.802,1e-05,layer1,1000
0,contrast,0.821,0.001,layer1,1000
0,contrast,0.749,0.0001,layer1,1000
0,contrast,0.562,1e-05,layer1,1000
0,defocus_blur,0.8155,0.001,layer1,1000
0,defocus_blur,0.7735,0.0001,layer1,1000
0,defocus_blur,0.637,1e-05,layer1,1000
0,elastic_transform,0.706,0.001,layer1,1000
0,elastic_transform,0.669,0.0001,layer1,1000
0,elastic_transform,0.561,1e-05,layer1,1000
0,fog,0.79,0.001,layer1,1000
0,fog,0.7415,0.0001,layer1,1000
0,fog,0.627,1e-05,layer1,1000
0,frost,0.7885,0.001,layer1,1000
0,frost,0.731,0.0001,layer1,1000
0,frost,0.585,1e-05,layer1,1000
0,gaussian_blur,0.7925,0.001,layer1,1000
0,gaussian_blur,0.74,0.0001,layer1,1000
0,gaussian_blur,0.559,1e-05,layer1,1000
0,gaussian_noise,0.7195,0.001,layer1,1000
0,gaussian_noise,0.6575,0.0001,layer1,1000
0,gaussian_noise,0.4745,1e-05,layer1,1000
0,glass_blur,0.614,0.001,layer1,1000
0,glass_blur,0.539,0.0001,layer1,1000
0,glass_blur,0.4095,1e-05,layer1,1000
0,impulse_noise,0.68,0.001,layer1,1000
0,impulse_noise,0.5815,0.0001,layer1,1000
0,impulse_noise,0.4085,1e-05,layer1,1000
0,jpeg_compression,0.7315,0.001,layer1,1000
0,jpeg_compression,0.6935,0.0001,layer1,1000
0,jpeg_compression,0.5525,1e-05,layer1,1000
0,motion_blur,0.7985,0.001,layer1,1000
0,motion_blur,0.7495,0.0001,layer1,1000
0,motion_blur,0.62,1e-05,layer1,1000
0,pixelate,0.772,0.001,layer1,1000
0,pixelate,0.7105,0.0001,layer1,1000
0,pixelate,0.4325,1e-05,layer1,1000
0,saturate,0.8665,0.001,layer1,1000
0,saturate,0.8645,0.0001,layer1,1000
0,saturate,0.8505,1e-05,layer1,1000
0,shot_noise,0.7415,0.001,layer1,1000
0,shot_noise,0.689,0.0001,layer1,1000
0,shot_noise,0.499,1e-05,layer1,1000
0,snow,0.78,0.001,layer1,1000
0,snow,0.739,0.0001,layer1,1000
0,snow,0.654,1e-05,layer1,1000
0,spatter,0.818,0.001,layer1,1000
0,spatter,0.796,0.0001,layer1,1000
0,spatter,0.69,1e-05,layer1,1000
0,speckle_noise,0.759,0.001,layer1,1000
0,speckle_noise,0.6855,0.0001,layer1,1000
0,speckle_noise,0.5035,1e-05,layer1,1000
0,zoom_blur,0.797,0.001,layer1,1000
0,zoom_blur,0.7305,0.0001,layer1,1000
0,zoom_blur,0.6185,1e-05,layer1,1000
