,corruption,accuracy,lr,state,n_subset
0,brightness,0.8435,0.001,layer2,1000
0,brightness,0.83,0.0001,layer2,1000
0,brightness,0.815,1e-05,layer2,1000
0,contrast,0.7325,0.001,layer2,1000
0,contrast,0.695,0.0001,layer2,1000
0,contrast,0.592,1e-05,layer2,1000
0,defocus_blur,0.7515,0.001,layer2,1000
0,defocus_blur,0.7435,0.0001,layer2,1000
0,defocus_blur,0.663,1e-05,layer2,1000
0,elastic_transform,0.683,0.001,layer2,1000
0,elastic_transform,0.6505,0.0001,layer2,1000
0,elastic_transform,0.595,1e-05,layer2,1000
0,fog,0.727,0.001,layer2,1000
0,fog,0.704,0.0001,layer2,1000
0,fog,0.664,1e-05,layer2,1000
0,frost,0.728,0.001,layer2,1000
0,frost,0.6895,0.0001,layer2,1000
0,frost,0.6235,1e-05,layer2,1000
0,gaussian_blur,0.7335,0.001,layer2,1000
0,gaussian_blur,0.7215,0.0001,layer2,1000
0,gaussian_blur,0.6095,1e-05,layer2,1000
0,gaussian_noise,0.6705,0.001,layer2,1000
0,gaussian_noise,0.627,0.0001,layer2,1000
0,gaussian_noise,0.5535,1e-05,layer2,1000
0,glass_blur,0.5905,0.001,layer2,1000
0,glass_blur,0.5295,0.0001,layer2,1000
0,glass_blur,0.4385,1e-05,layer2,1000
0,impulse_noise,0.591,0.001,layer2,1000
0,impulse_noise,0.531,0.0001,layer2,1000
0,impulse_noise,0.456,1e-05,layer2,1000
0,jpeg_compression,0.688,0.001,layer2,1000
0,jpeg_compression,0.658,0.0001,layer2,1000
0,jpeg_compression,0.5905,1e-05,layer2,1000
0,motion_blur,0.727,0.001,layer2,1000
0,motion_blur,0.714,0.0001,layer2,1000
0,motion_blur,0.6455,1e-05,layer2,1000
0,pixelate,0.717,0.001,layer2,1000
0,pixelate,0.68,0.0001,layer2,1000
0,pixelate,0.5785,1e-05,layer2,1000
0,saturate,0.8595,0.001,layer2,1000
0,saturate,0.852,0.0001,layer2,1000
0,saturate,0.8515,1e-05,layer2,1000
0,shot_noise,0.6845,0.001,layer2,1000
0,shot_noise,0.647,0.0001,layer2,1000
0,shot_noise,0.575,1e-05,layer2,1000
0,snow,0.7485,0.001,layer2,1000
0,snow,0.7165,0.0001,layer2,1000
0,snow,0.6795,1e-05,layer2,1000
0,spatter,0.778,0.001,layer2,1000
0,spatter,0.751,0.0001,layer2,1000
0,spatter,0.696,1e-05,layer2,1000
0,speckle_noise,0.701,0.001,layer2,1000
0,speckle_noise,0.6455,0.0001,layer2,1000
0,speckle_noise,0.573,1e-05,layer2,1000
0,zoom_blur,0.772,0.001,layer2,1000
0,zoom_blur,0.748,0.0001,layer2,1000
0,zoom_blur,0.6605,1e-05,layer2,1000
