,corruption,accuracy,lr,state,n_subset
0,brightness,0.851,0.001,layer2,3000
0,brightness,0.846,0.0001,layer2,3000
0,brightness,0.834,1e-05,layer2,3000
0,contrast,0.77,0.001,layer2,3000
0,contrast,0.736,0.0001,layer2,3000
0,contrast,0.669,1e-05,layer2,3000
0,defocus_blur,0.79,0.001,layer2,3000
0,defocus_blur,0.776,0.0001,layer2,3000
0,defocus_blur,0.7335,1e-05,layer2,3000
0,elastic_transform,0.717,0.001,layer2,3000
0,elastic_transform,0.685,0.0001,layer2,3000
0,elastic_transform,0.6375,1e-05,layer2,3000
0,fog,0.761,0.001,layer2,3000
0,fog,0.736,0.0001,layer2,3000
0,fog,0.7005,1e-05,layer2,3000
0,frost,0.768,0.001,layer2,3000
0,frost,0.737,0.0001,layer2,3000
0,frost,0.668,1e-05,layer2,3000
0,gaussian_blur,0.776,0.001,layer2,3000
0,gaussian_blur,0.7615,0.0001,layer2,3000
0,gaussian_blur,0.689,1e-05,layer2,3000
0,gaussian_noise,0.685,0.001,layer2,3000
0,gaussian_noise,0.666,0.0001,layer2,3000
0,gaussian_noise,0.616,1e-05,layer2,3000
0,glass_blur,0.658,0.001,layer2,3000
0,glass_blur,0.604,0.0001,layer2,3000
0,glass_blur,0.4795,1e-05,layer2,3000
0,impulse_noise,0.657,0.001,layer2,3000
0,impulse_noise,0.594,0.0001,layer2,3000
0,impulse_noise,0.5005,1e-05,layer2,3000
0,jpeg_compression,0.7255,0.001,layer2,3000
0,jpeg_compression,0.6925,0.0001,layer2,3000
0,jpeg_compression,0.633,1e-05,layer2,3000
0,motion_blur,0.7775,0.001,layer2,3000
0,motion_blur,0.762,0.0001,layer2,3000
0,motion_blur,0.6905,1e-05,layer2,3000
0,pixelate,0.7535,0.001,layer2,3000
0,pixelate,0.7125,0.0001,layer2,3000
0,pixelate,0.6355,1e-05,layer2,3000
0,saturate,0.863,0.001,layer2,3000
0,saturate,0.864,0.0001,layer2,3000
0,saturate,0.8515,1e-05,layer2,3000
0,shot_noise,0.7255,0.001,layer2,3000
0,shot_noise,0.6935,0.0001,layer2,3000
0,shot_noise,0.6285,1e-05,layer2,3000
0,snow,0.7695,0.001,layer2,3000
0,snow,0.7565,0.0001,layer2,3000
0,snow,0.7145,1e-05,layer2,3000
0,spatter,0.8015,0.001,layer2,3000
0,spatter,0.7865,0.0001,layer2,3000
0,spatter,0.728,1e-05,layer2,3000
0,speckle_noise,0.7335,0.001,layer2,3000
0,speckle_noise,0.6985,0.0001,layer2,3000
0,speckle_noise,0.6305,1e-05,layer2,3000
0,zoom_blur,0.8,0.001,layer2,3000
0,zoom_blur,0.778,0.0001,layer2,3000
0,zoom_blur,0.7255,1e-05,layer2,3000
